ICAO Code,IATA,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
FQQL,UEL,QUELIMANE,QUELIMANE,MOZAMBIQUE,-17.856,36.869
FQSG,N/A,SONGO,SONGO,MOZAMBIQUE,-15.602,32.773
FQTT,TET,TETE CHINGOZI,TETE,MOZAMBIQUE,-16.105,33.64
FQUG,N/A,ULONGWE,ULONGWE,MOZAMBIQUE,-14.704,34.352
FQVL,VNX,VILANKULO,VILANKULU,MOZAMBIQUE,-22.018,35.313
FSAL,N/A,ALPHONSE,ALPHONSE,SEYCHELLES,-7.005,52.726
FSDR,DES,DESROCHES,DESROCHES,SEYCHELLES,-5.696,53.654
FSFA,N/A,FARQUHAR,FARQUHAR,SEYCHELLES,-10.109,51.176
FSIA,SEZ,SEYCHELLES INTERNATIONAL,MAHE,SEYCHELLES,-4.674,55.522
FSPP,PRI,PRASLIN,PRASLIN,SEYCHELLES,-4.319,55.691
FSSC,N/A,COETIVY,COETIVY,SEYCHELLES,-7.164,56.264
FTTA,SRH,SARH,SARH,CHAD,9.151,18.379
FTTC,AEH,ABECHE,ABECHE,CHAD,13.847,20.844
FTTD,MQQ,MOUNDOU,MOUNDOU,CHAD,8.62,16.068
FTTJ,NDJ,NDJAMENA,N'DJAMENA,CHAD,12.134,15.034
FTTP,PLF,PALA,PALA,CHAD,9.379,14.926
FTTY,FYT,FAYA LARGEAU,FAYA-LARGEAU,CHAD,17.917,19.111
FVBU,BUQ,JOSHUA MQABUKO NKOMO INTERNATIONAL,BULAWAYO,ZIMBABWE,-20.017,28.618
FVCP,N/A,HARARE CHARLES PRINCE,HARARE,ZIMBABWE,-17.751,30.924
FVCZ,BFO,CHIREDZI BUFFALO RANGE,CHIREDZI,ZIMBABWE,-21.008,31.578
FVFA,VFA,VICTORIA FALLS INTERNATIONAL,VICTORIA FALLS,ZIMBABWE,-18.096,25.839
FVGR,UTA,MUTARE GRAND REEF,MUTARE,ZIMBABWE,-18.977,32.451
FVHA,HRE,HARARE INTERNATIONAL,HARARE,ZIMBABWE,-17.932,31.093
FVKB,KAB,KARIBA INTERNATIONAL,KARIBA,ZIMBABWE,-16.52,28.885
FVMT,N/A,MUTOKO,MUTOKO,ZIMBABWE,-17.432,32.184
FVMU,N/A,MUTARE,MUTARE,ZIMBABWE,-18.998,32.627
FVMV,MVZ,MASVINGO,MASVINGO,ZIMBABWE,-20.055,30.859
FVSH,N/A,ZVISHAVANE,ZVISHAVANE,ZIMBABWE,-20.289,30.088
FVTL,GWE,GWERU THORNHILL,GWERT,ZIMBABWE,-19.437,29.862
FVWN,WKM,HWANGE NATIONAL PARK,HWANGE NATIONAL PARK,ZIMBABWE,-18.63,27.021
FVZC,N/A,ZISCO,ZISCO,ZIMBABWE,-19.029,29.722
FWCL,BLZ,CHILEKA INTERNATIONAL,BLANTYRE,MALAWI,-15.679,34.974
FWKA,KGJ,KARONGA,KARONGA,MALAWI,-9.953,33.893
FWKG,N/A,KASUNGU,KASUNGU,MALAWI,-13.014,33.468
FWMG,N/A,MARIANNA MUNI,MANGOCHI,MALAWI,30.838,-85.182
FWUU,ZZU,MZUZU,MZUZU,MALAWI,-11.445,34.012
FXMM,MSU,MOSHOESHOE I INTERNATIONAL,MASERU,LESOTHO,-29.462,27.553
FXMU,N/A,MEJAMETALANA,MASERU,LESOTHO,-29.304,27.503
FZAA,FIH,KINSHASA NDJILI INTERNATIONAL,KINSHASA,ZAIRE,-4.386,15.444
FZAB,NLO,KINSHASA NDOLO,KINSHASA,ZAIRE,-4.325,15.328
FZAG,MNB,MUANDA,MUANDA,ZAIRE,-5.931,12.352
FZAI,N/A,KITONA BASE,KITONA BASE,ZAIRE,-5.918,12.447
FZAM,MAT,MATADI TSHIMPI,MATADI,ZAIRE,-5.799,13.441
FZBO,FDU,BANDUNDU,BANDOUNDU,ZAIRE,-3.311,17.382
FZCA,KKW,KIKWIT,KIKWIT,ZAIRE,-5.036,18.786
FZEA,MDK,MBANDAKA,MBANDAKA,ZAIRE,0.022,18.289
FZFD,BDT,GBADOLITE,GBADOLITE,ZAIRE,4.253,20.975
FZFK,GMA,GEMENA,GEMENA,ZAIRE,3.235,19.771
FZFP,N/A,KOTAKOLI,KOTAKOLI,ZAIRE,4.158,21.651
FZGA,LIQ,LISALA,LISALA,ZAIRE,2.171,21.497
FZIA,FKI,KISANGANI SIMISINI,KISANGANI,ZAIRE,0.518,25.155
FZJH,IRP,ISIRO MATARI,ISIRO,ZAIRE,2.827,27.588
FZKA,BUX,BUNIA,BUNIA,ZAIRE,1.566,30.221
FZKJ,N/A,BUTA ZEGA,BUTA ZEGA,ZAIRE,2.818,24.794
FZMA,BKY,BUKAVU KAVUMU,BUKAVU/KAVUMU,ZAIRE,-2.309,28.809
FZNA,GOM,GOMA,GOMA,ZAIRE,-1.671,29.238
FZOA,KND,KINDU,KINDU,ZAIRE,-2.919,25.915
FZQA,FBM,LUBUMBASHI INTERNATIONAL,LUBUMASHI,ZAIRE,-11.591,27.531
FZQM,KWZ,KOLWEZI,KOLWEZI,ZAIRE,-10.766,25.506
FZRF,FMI,KALEMIE,KALEMIE,ZAIRE,-5.876,29.25
FZSA,KMN,KAMINA BASE,KAMINA BASE,ZAIRE,-8.642,25.253
FZTL,N/A,LUENA,LUENA,ZAIRE,-9.469,25.759
FZUA,KGA,KANANGA,KANANGA,ZAIRE,-5.9,22.469
FZWA,MJM,MBUJI MAYI,MBUJI-MAYI,ZAIRE,-6.121,23.569
GABS,BKO,BAMAKO SENOU,BAMAKO,MALI,12.533,-7.95
GAGO,GAQ,GAO,GAO,MALI,16.248,-0.005
GAKY,KYS,KAYES,KAYES,MALI,14.431,-11.439
GAMB,MZI,MOPTI AMBODEDJO,MOPTI,MALI,14.513,-4.079
GANR,NIX,NIORO,NIORO,MALI,15.239,-9.576
GATB,TOM,TOMBOUCTOU,TOMBOUCTOU,MALI,16.73,-3.007
GATS,N/A,TESSALIT,TESSALIT,MALI,20.246,0.981
GBYD,BJL,BANJUL INTERNATIONAL,BANJUL,GAMBIA,13.338,-16.652
GCFV,FUE,FUERTEVENTURA,FUERTEVENTURA,CANARY ISLANDS,28.453,-13.864
GCHI,VDE,HIERRO,HIERRO,CANARY ISLANDS,27.815,-17.887
GCLA,SPC,LA PALMA,SANTA CRUZ DE LA PALMA,SPAIN,28.626,-17.756
GCLP,LPA,GRAN CANARIA,GRAN CANARIA,CANARY ISLANDS,27.932,-15.386
GCRR,ACE,LANZAROTE,LANZEROTE,CANARY ISLANDS,28.945,-13.605
GCTS,TFS,TENERIFE SUR,TENERIFE,CANARY ISLANDS,28.044,-16.572
GCXO,TFN,TENERIFE NORTE,TENERIFE,CANARY ISLANDS,28.482,-16.341
GEML,MLN,MELILLA,MELILLA,SPANISH NORTH AFRICA,35.28,-2.956
GFHA,HGS,HASTINGS,HASTINGS,SIERRA LEONE,8.394,-13.128
GFLL,FNA,FREETOWN LUNGI,FREETOWN,SIERRA LEONE,8.616,-13.195
GGCF,N/A,CUFAR,CUFAR,GUINEA BISSAU,11.288,-15.181
GGOV,BXO,BISSAU OSWALDO VIEIRA INTERNATIONAL,BISSAU,GUINEA BISSAU,11.895,-15.654
GLMR,MLW,MONROVIA SPRIGGS PAYNE,MONROVIA,LIBERIA,6.289,-10.759
GLRB,ROB,MONROVIA ROBERTS INTERNATIONAL,MONROVIA,LIBERIA,6.234,-10.362
GMAA,AGA,INEZGANE,AGADIR,MOROCCO,30.381,-9.546
GMAT,TTA,PLAGE BLANCHE,TAN TAN,MOROCCO,28.448,-11.161
GMFF,FEZ,SAISS,FEZ,MOROCCO,33.927,-4.978
GMFI,N/A,IFRANE,IFRANE,MOROCCO,33.505,-5.153
GMFK,ERH,MOULAY ALI CHERIF,ER-RACHIDIA,MOROCCO,31.949,-4.401
GMFM,MEK,BASSATINE,MEKNES,MOROCCO,33.879,-5.515
GMFN,N/A,TAOUIMA,NADOR,MOROCCO,35.153,-2.92
GMFO,OUD,ANGADS,OUJDA,MOROCCO,34.787,-1.924
GMMC,CAS,ANFA,CASABLANCA,MOROCCO,33.553,-7.661
GMME,RBA,SALE,RABAT,MOROCCO,34.051,-6.751
GMMF,SII,SIDI IFNI,SIDI IFINI,MOROCCO,29.369,-10.18
GMMI,N/A,ESSAOUIRA,ESSADOUIRA,MOROCCO,31.404,-9.685
GMMN,CMN,MOHAMMED V,CASABLANCA,MOROCCO,33.368,-7.588
GMMX,RAK,MENARA,MARRAKECH,MOROCCO,31.607,-8.036
GMMY,NNA,KENITRA,KENTIRA,MOROCCO,34.299,-6.596
GMMZ,OZZ,OUARZAZATE,OUARZAZATE,MOROCCO,30.939,-6.909
GMTA,AHU,CHERIF EL IDRISSI,AL HOCIEMA,MOROCCO,35.177,-3.839
GMTN,TTU,SANIAT RMEL,TETOUAN,MOROCCO,35.594,-5.32
GMTT,TNG,IBN BATOUTA,TANGER,MOROCCO,35.727,-5.917
GOGG,ZIG,ZIGUINCHOR,ZIGUINCHOR,SENEGAL,12.556,-16.282
GOGK,KDA,KOLDA,KOLDA,SENEGAL,12.88,-14.955
GOGS,CSK,CAP SKIRING,CAP SKIRING,SENEGAL,12.41,-16.746
GOOK,KLC,KAOLACK,KAOLACK,SENEGAL,14.147,-16.051
GOOY,DKR,LEOPOLD SEDAR SENGHOR INTERNATIONAL,DAKAR,SENEGAL,14.739,-17.49
GOSS,XLS,SAINT LOUIS,ST. LOUIS,SENEGAL,16.05,-16.461
GOTB,BXE,BAKEL,BAKEL,SENEGAL,14.847,-12.468
GOTK,KGG,KEDOUGOU,KEDOUGOU,SENEGAL,12.572,-12.22
GOTT,TUD,TAMBACOUNDA,TAMBACOUNDA,SENEGAL,13.737,-13.653
GQNA,IEO,AIOUN EL ATROUSS,AIOUN EL ATROUSS,MAURITANIA,16.711,-9.638
GQND,TIY,TIDJIKJA,TIDJIKJA,MAURITANIA,18.57,-11.423
GQNF,KFA,KIFFA,KIFFA,MAURITANIA,16.59,-11.406
GQNI,EMN,NEMA,NEMA,MAURITANIA,16.622,-7.314
GQNK,KED,KAEDI,KAEDI,MAURITANIA,16.159,-13.508
GQNN,NKC,NOUAKCHOTT,NOUAKSCHOTT,MAURITANIA,18.098,-15.948
GQNS,SEY,SELIBADY,SELIBABI,MAURITANIA,15.179,-12.207
GQPA,ATR,ATAR,ATAR,MAURITANIA,20.507,-13.043
GQPP,NDB,NOUADHIBOU,NOUADHIBOU,MAURITANIA,20.928,-17.031
GQPT,N/A,BIR MOGHREIN,BIR MOGHREIN,MAURITANIA,25.237,-11.589
GUFA,FIG,FRIA,FIRA,GUINEA,10.351,-13.569
GUFH,FAA,FARANAH,FARANAH,GUINEA,10.036,-10.77
GULB,LEK,LABE,LABE,GUINEA,11.326,-12.287
GUMA,MCA,MACENTA,MACENTA,GUINEA,8.481,-9.526
GUNZ,NZE,NZEREKORE,N'ZEREKORE,GUINEA,7.806,-8.702
GVAC,SID,AMILCAR CABRAL INTERNATIONAL,AMILCAR CABRAL,CAPE VERDE ISLANDS,16.741,-22.949
GVBA,BVC,RABIL,BOA VISTA,CAPE VERDE ISLANDS,16.137,-22.889
GVFM,RAI,FRANCISCO MENDES,FRANCISCO MENDEZ,CAPE VERDE ISLANDS,14.924,-23.493
GVMA,MMO,MAIO,MAIO,CAPE VERDE ISLANDS,15.156,-23.214
GVSN,SNE,PREGUICA,SAO NOCOLAU ISLAND,CAPE VERDE ISLANDS,16.588,-24.284
GVSV,VXE,SAO PEDRO,SAO VICENTE ISLAND,CAPE VERDE ISLANDS,16.834,-25.057
HAAB,ADD,BOLE INTERNATIONAL,ADDIS ABABA,ETHIOPIA,8.977,38.8
HAAL,N/A,LIDETA,ADDIS ABABA,ETHIOPIA,9.004,38.726
HABD,BJR,BAHIR DAR,BAHAR DAR,ETHIOPIA,11.608,37.321
HADR,DIR,ABA TENNA DEJAZMATCH YILMA INTERNATIONAL,DIRE DAWA,ETHIOPIA,9.625,41.854
HAGM,GMB,GAMBELLA,GAMBELLA,ETHIOPIA,8.128,34.563
HAGN,GDQ,GONDER,GONDAR,ETHIOPIA,12.518,37.432
HAHM,N/A,HARAR MEDA,DEBRE ZEIT,ETHIOPIA,8.716,39.008
HAJM,JIM,ABA SEGUD,JIMMA,ETHIOPIA,7.666,36.816
HALL,LLI,LALIBELLA,LALIBELLA,ETHIOPIA,11.975,38.98
HAMK,MQX,MEKELE,MAKALE,ETHIOPIA,13.467,39.533
HBBA,BJM,BUJUMBURA INTERNATIONAL,BUJUMBURA,BURUNDI,-3.324,29.318
HCMB,N/A,BAIDOA,BAIDOA,SOMALIA,3.099,43.624
HCMH,HGA,HARGEISA,HARGEISA,SOMALIA,9.518,44.089
HCMI,BBO,BERBERA,BERBERA,SOMALIA,10.389,44.941
HCMK,KMU,KISIMAYU,KISMAYU,SOMALIA,-0.377,42.459
HCMM,MGQ,MOGADISHU,MOGADISHU,SOMALIA,2.014,45.305
HEAR,N/A,EL ARISH INTERNATIONAL,EL ARISH,EGYPT,31.073,33.836
HEAT,N/A,ASYUT INTERNATIONAL,ASYUT,EGYPT,27.046,31.012
HEAX,ALY,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,EGYPT,31.184,29.949
HEBL,ABS,ABU SIMBEL,ABU SIMBEL,EGYPT,22.376,31.612
HECA,CAI,CAIRO INTERNATIONAL,CAIRO,EGYPT,30.122,31.406
HECW,N/A,CAIRO WEST,CAIRO,EGYPT,30.116,30.915
HEEM,N/A,EMBABA,EMBABA,EGYPT,30.074,31.192
HEGN,HRG,HURGHADA INTERNATIONAL,HURGHADA,EGYPT,27.184,33.798
HEGR,N/A,EL GORA,EL-GORA,EGYPT,31.069,34.129
HELX,LXR,LUXOR INTERNATIONAL,LUXOR,EGYPT,25.671,32.706
HEMM,MUH,MERSA MATRUH,MERSA-MATRUH,EGYPT,31.325,27.222
HEPS,PSD,PORT SAID,PORT SAID,EGYPT,31.279,32.24
HESC,SKV,ST CATHERINE INTERNATIONAL,ST. CATHERINE,EGYPT,28.685,34.063
HESN,ASW,ASWAN INTERNATIONAL,ASWAN,EGYPT,23.964,32.82
HETR,ELT,EL TOR,EL-TOR,EGYPT,28.209,33.645
HKEL,EDL,ELDORET INTERNATIONAL,ELDORET,KENYA,0.404,35.238
HKGA,GAS,GARISSA,GARISSA,KENYA,-0.463,39.648
HKIS,N/A,ISIOLO,ISIOLO,KENYA,0.339,37.591
HKKG,N/A,KAKAMEGA,KAKAMEGA,KENYA,0.271,34.787
HKKI,KIS,KISUMU,KISUMU,KENYA,-0.086,34.729
HKKT,KTL,KITALE,KITALE,KENYA,0.972,34.958
HKLK,N/A,LOKICHOGGIO,LOKICHOGGIO,KENYA,4.204,34.348
HKLO,LOK,LODWAR,LODWAR,KENYA,3.122,35.609
HKLU,LAU,LAMU MANDA,LAMU,KENYA,-2.252,40.913
HKLY,LOY,LOYENGALANI,LOYANGALANI,KENYA,2.763,36.718
HKMA,NDE,MANDERA,MANDERA,KENYA,3.934,41.844
HKMB,RBT,MARSABIT,MARSABIT,KENYA,2.345,37.999
HKMK,N/A,MULIKA,MERU,KENYA,0.23,38.17
HKML,MYD,MALINDI,MALINDI,KENYA,-3.229,40.102
HKMO,MBA,MOI INTERNATIONAL,MOMBASA,KENYA,-4.035,39.594
HKMY,OYL,MOYALE LOWER,MOYALE LOWER,KENYA,3.47,39.101
HKNI,NYE,NYERI,NYERI,KENYA,-0.369,36.98
HKNV,N/A,NAIVASHA,NAIVASHA,KENYA,-0.788,36.433
HKNW,WIL,NAIROBI WILSON,NAIROBI,KENYA,-1.322,36.815
HKNY,NYK,NANYUKI,NANYUKI,KENYA,-0.061,37.039
HKRE,N/A,NAIROBI EASTLEIGH,NAIROBI,KENYA,-1.277,36.862
HKWJ,WJR,WAJIR,WAJIR,KENYA,1.733,40.091
HLFL,N/A,BU ATTIFEL,BUATTIFEL,LIBYA,28.795,22.081
HLGL,N/A,WAREHOUSE 59E,GIALLO,LIBYA,28.638,21.438
HLGT,GHT,GHAT,GHAT,LIBYA,25.146,10.143
HLKF,AKF,KUFRA,KUFRA,LIBYA,24.179,23.314
HLLB,BEN,BENINA,BENGHAZI,LIBYA,32.097,20.269
HLLQ,N/A,EL BEIDA,EL BEIDA,LIBYA,32.789,21.964
HLLS,SEB,SEBHA,SEBHA,LIBYA,26.987,14.473
HLLT,TIP,TRIPOLI INTERNATIONAL,TRIPOLI,LIBYA,32.663,13.159
HLMB,N/A,MARSA BREGA,MARSA BREGA,LIBYA,30.378,19.576
HLNF,N/A,RAS LANUF OIL,RAS LANOUF V 40,LIBYA,30.5,18.527
HLON,N/A,HON,HON,LIBYA,29.11,15.966
HLRA,N/A,DAHRA,DAHRA,LIBYA,29.47,17.931
HLTD,LTD,GHADAMES EAST,GHADAMES,LIBYA,30.152,9.715
HLZA,N/A,ZELLA 74,ZELLA 74,LIBYA,28.59,17.294
HRYG,GYI,GISENYI,GISENYI,RWANDA,-1.677,29.259
HRYR,KGL,KIGALI INTERNATIONAL,KIGALI,RWANDA,-1.969,30.139
HRZA,KME,KAMEMBE,KAMEMBE,RWANDA,-2.462,28.908
HSDN,DOG,DONGOLA,DONGOLA,SUDAN,19.154,30.43
HSDZ,N/A,DAMAZIN,DAMAZIN,SUDAN,11.786,34.336
HSFS,ELF,EL FASHER,EL FASHER,SUDAN,13.615,25.325
HSKA,KSL,KASSALA,KASSALA,SUDAN,15.386,36.328
HSNL,UYL,NYALA,NYALA,SUDAN,12.054,24.955
HSOB,EBD,EL OBEID,EL OBEID,SUDAN,13.153,30.232
HSSJ,JUB,JUBA,JUBA,SUDAN,4.872,31.601
HSSM,MAK,MALAKAL,MALAKAL,SUDAN,9.559,31.652
HSSP,PZU,PORT SUDAN,PORT SUDAN,SUDAN,19.576,37.216
HSSS,KRT,KHARTOUM,KHARTOUM,SUDAN,15.589,32.553
HSWW,WUU,WAU,WAU,SUDAN,7.726,27.979
HTAR,ARK,ARUSHA,ARUSHA,TANZANIA,-3.368,36.633
HTDA,DAR,DAR ES SALAAM,DAR ES SALAAM,TANZANIA,-6.878,39.203
HTDO,DOD,DODOMA,DODOMA,TANZANIA,-6.17,35.752
HTIR,IRI,IRINGA,IRINGA,TANZANIA,-7.669,35.752
HTKJ,JRO,KILIMANJARO INTERNATIONAL,KILIMANJARO,TANZANIA,-3.429,37.074
HTLM,N/A,LAKE MANYARA,LAKE MANYARA,TANZANIA,-3.376,35.818
HTMD,N/A,MWADUI,MWADUI,TANZANIA,-3.514,33.619
HTMS,QSI,MOSHI,MOSHI,TANZANIA,-3.363,37.323
HTMT,MYW,MTWARA,MTWARA,TANZANIA,-10.339,40.182
HTMW,MWZ,MWANZA,MWANZA,TANZANIA,-2.444,32.932
HTNG,N/A,NGERENGERE,NGERENGERE,TANZANIA,-6.717,38.154
HTPE,PMA,PEMBA,PEMBA,TANZANIA,-5.257,39.811
HTTG,TGT,TANGA,TANGA,TANZANIA,-5.092,39.071
HTZA,ZNZ,ZANZIBAR,ZANZIBAR,TANZANIA,-6.222,39.225
HUEN,EBB,ENTEBBE INTERNATIONAL,ENTEBBE,UGANDA,0.042,32.443
HUGU,N/A,GULU,GULU,UGANDA,2.806,32.272
HUSO,SRT,SOROTI,SOROTI,UGANDA,1.728,33.623
KABI,ABI,ABILENE RGNL,ABILENE,USA,32.411,-99.682
KACK,ACK,NANTUCKET MEM,NANTUCKET,USA,41.253,-70.06
KACT,ACT,WACO RGNL,WACO,USA,31.611,-97.23
KACY,ACY,ATLANTIC CITY INTERNATIONAL,ATLANTIC CITY,USA,39.458,-74.577
KADM,ADM,ARDMORE MUNI,ARDMORE,USA,34.303,-97.019
KADW,ADW,ANDREWS AFB,CAMP SPRINGS,USA,38.811,-76.867
KAEX,AEX,ALEXANDRIA INTERNATIONAL,ALEXANDRIA,USA,31.327,-92.548
KAGS,AGS,AUGUSTA RGNL AT BUSH FLD,BUSH FIELD,USA,33.37,-81.964
KAKR,AKR,AKRON FULTON INTERNATIONAL,AKRON,USA,41.038,-81.467
KALB,ALB,ALBANY INTERNATIONAL,ALBANY,USA,42.748,-73.803
KALI,ALI,ALICE INTERNATIONAL,ALICE,USA,27.741,-98.027
KAMA,AMA,AMARILLO INTERNATIONAL,AMARILLO,USA,35.219,-101.706
KANB,ANB,ANNISTON METROPOLITAN,ANNISTON,USA,33.588,-85.858
KAND,AND,ANDERSON RGNL,ANDERSEN,USA,34.495,-82.709
KAOO,AOO,ALTOONA BLAIR CO,ALTOONA,USA,40.296,-78.32
KAPG,APG,PHILLIPS AAF,ABERDEEN,USA,39.466,-76.169
KARA,ARA,ACADIANA REGIONAL,LOUISIANA,USA,30.038,-91.884
KART,ART,WATERTOWN INTERNATIONAL,WATERTOWN,USA,43.992,-76.022
KATL,ATL,THE WILLIAM B HARTSFIELD ATLANTA INTERNATIONAL,ATLANTA,USA,33.64,-84.427
KAUG,AUG,AUGUSTA STATE,AUGUSTA,USA,44.321,-69.797
KAUS,AUS,AUSTIN BERGSTROM INTERNATIONAL,AUSTIN,USA,30.194,-97.67
KBAB,BAB,BEALE AFB,MARYSVILLE,USA,39.136,-121.436
KBAD,BAD,BARKSDALE AFB,SHREVEPORT,USA,32.502,-93.663
KBCT,BCT,BOCA RATON,BOCA RATON,USA,26.378,-80.107
KBDE,BDE,BAUDETTE INTERNATIONAL,BAUDETTE,USA,48.728,-94.612
KBDL,BDL,BRADLEY INTERNATIONAL,WINDSOR LOCKS,USA,41.939,-72.683
KBDR,BDR,IGOR I SIKORSKY MEM,STRATFORD,USA,41.163,-73.126
KBED,BED,LAURENCE G HANSCOM FLD,BEDFORD,USA,42.47,-71.289
KBFI,BFI,BOEING FLD KING CO INTERNATIONAL,SEATTLE,USA,47.53,-122.302
KBFL,BFL,MEADOWS FLD,BAKERSFIELD,USA,35.433,-119.057
KBFM,BFM,MOBILE DOWNTOWN,MOBILE,USA,30.626,-88.068
KBGR,BGR,BANGOR INTERNATIONAL,BANGOR,USA,44.807,-68.828
KBHM,BHM,BIRMINGHAM INTERNATIONAL,BIRMINGHAM,USA,33.563,-86.753
KBIF,BIF,BIGGS AAF,EL PASO,USA,31.849,-106.38
KBIX,BIX,KEESLER AFB,BILOXI,USA,30.411,-88.924
KBKF,BKF,BUCKLEY AFB,BUCKLEY,USA,39.702,-104.751
KBLI,BLI,BELLINGHAM INTERNATIONAL,BELLINGHAM,USA,48.792,-122.537
KBLV,BLV,SCOTT AFB MIDAMERICA,BELLEVILLE,USA,38.545,-89.835
KBNA,BNA,NASHVILLE INTERNATIONAL,NASHVILLE,USA,36.124,-86.678
KBOI,BOI,BOISE AIR TERMINAL,BOISE,USA,43.564,-116.223
KBOS,BOS,GENERAL EDWARD LAWRENCE LOGAN INTERNATIONAL,BOSTON,USA,42.364,-71.005
KBPT,BPT,SOUTHEAST TEXAS RGNL,BEAUMONT,USA,29.951,-94.021
KBRO,BRO,BROWNSVILLE SOUTH PADRE ISLAND INTERNATIONAL,BROWNSVILLE,USA,25.907,-97.426
KBTR,BTR,BATON ROUGE METRO RYAN FLD,BATON ROUGE,USA,30.533,-91.149
KBTV,BTV,BURLINGTON INTERNATIONAL,BURLINGTON,USA,44.472,-73.153
KBUF,BUF,BUFFALO NIAGARA INTERNATIONAL,BUFFALO,USA,42.94,-78.732
KBUR,BUR,BURBANK GLENDALE PASADENA,BURBANK,USA,34.201,-118.359
KBWI,BWI,BALTIMORE WASHINGTON INTERNATIONAL,BALTIMORE,USA,39.175,-76.668
KBYH,BYH,ARKANSAS INTERNATIONAL,BLYTHEVILLE,USA,35.964,-89.943
KBYS,BYS,BICYCLE LAKE AAF,FORT IRWIN,USA,35.28,-116.63
KCAE,CAE,COLUMBIA METROPOLITAN,COLOMBIA,USA,33.939,-81.119
KCAR,CAR,CARIBOU MUNI,CARIBOU,USA,46.871,-68.018
KCBM,CBM,COLUMBUS AFB,COLOMBUS,USA,33.644,-88.444
KCDC,CDC,CEDAR CITY RGNL,CEDAR CITY,USA,37.701,-113.099
KCDS,CDS,CHILDRESS MUNI,CHILDRESS,USA,34.434,-100.288
KCEF,CEF,WESTOVER ARB METROPOLITAN,CHICOPEE FALLS,USA,42.198,-72.534
KCEW,CEW,BOB SIKES,CRESTVIEW,USA,30.779,-86.522
KCFD,CFD,COULTER FLD,BRYAN,USA,30.716,-96.331
KCHA,CHA,LOVELL FLD,CHATTANOOGA,USA,35.035,-85.204
KCHS,CHS,CHARLESTON AFB INTERNATIONAL,CHARLESTON,USA,32.899,-80.04
KCIC,CIC,CHICO MUNI,CHICO,USA,39.795,-121.858
KCLE,CLE,CLEVELAND HOPKINS INTERNATIONAL,CLEVELAND,USA,41.412,-81.85
KCLL,CLL,EASTERWOOD FLD,COLLEGE STATION,USA,30.588,-96.364
KCLT,CLT,CHARLOTTE DOUGLAS INTERNATIONAL,CHARLOTTE,USA,35.214,-80.943
KCMH,CMH,PORT COLUMBUS INTERNATIONAL,COLUMBUS,USA,39.998,-82.892
KCNM,CNM,CAVERN CITY AIR TERMINAL,CARLSBAD,USA,32.337,-104.263
KCNW,CNW,TSTC WACO,WACO,USA,31.638,-97.074
KCOF,COF,PATRICK AFB,COCO BEACH,USA,28.235,-80.61
KCOS,COS,CITY OF COLORADO SPRINGS MUNI,COLORADO SPRINGS,USA,38.806,-104.7
KCOT,COT,COTULLA LA SALLE CO,COTULLA,USA,28.458,-99.22
KCOU,COU,COLUMBIA RGNL,COLUMBIA,USA,38.818,-92.219
KCPR,CPR,NATRONA CO INTERNATIONAL,CASPER,USA,42.908,-106.464
KCRP,CRP,CORPUS CHRISTI INTERNATIONAL,CORPUS CHRISTI,USA,27.77,-97.501
KCTB,CTB,CUT BANK MUNI,CUTBANK,USA,48.608,-112.376
KCVG,CVG,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL,CINCINNATI,USA,39.046,-84.662
KCVS,CVS,CANNON AFB,CLOVIS,USA,34.383,-103.322
KCXL,CXL,CALEXICO INTERNATIONAL,CALEXICO,USA,32.669,-115.513
KCXO,CXO,MONTGOMERY CO,CONROE,USA,30.352,-95.414
KCYS,CYS,CHEYENNE,CHEYENNE,USA,41.156,-104.812
KDAL,DAL,DALLAS LOVE FLD,DALLAS,USA,32.847,-96.852
KDAY,DAY,JAMES M COX DAYTON INTERNATIONAL,DAYTON,USA,39.902,-84.219
KDCA,DCA,RONALD REAGAN WASHINGTON NATIONAL,WASHINGTON,USA,38.852,-77.037
KDEN,DEN,DENVER INTERNATIONAL,DENVER,USA,39.858,-104.667
KDET,DET,DETROIT CITY,DETROIT,USA,42.409,-83.01
KDFW,DFW,DALLAS FORT WORTH INTERNATIONAL,DALLAS-FORT WORTH,USA,32.896,-97.037
KDHN,DHN,DOTHAN RGNL,DOTHAN,USA,31.321,-85.449
KDHT,DHT,DALHART MUNI,DALHART,USA,36.023,-102.547
KDLF,DLF,LAUGHLIN AFB,DEL RIO,USA,29.359,-100.778
KDLH,DLH,DULUTH INTERNATIONAL,DULUTH,USA,46.842,-92.194
KDMA,DMA,DAVIS MONTHAN AFB,TUCSON,USA,32.166,-110.883
KDOV,DOV,DOVER AFB,DOVER,USA,39.13,-75.466
KDPA,DPA,DU PAGE,WEST CHICAGO,USA,41.908,-88.249
KDRI,DRI,BEAUREGARD PARISH,DERIDDER,USA,30.832,-93.34
KDRO,DRO,DURANGO LA PLATA CO,DURANGO,USA,37.151,-107.754
KDRT,DRT,DEL RIO INTERNATIONAL,DEL RIO,USA,29.373,-100.926
KDSM,DSM,DES MOINES INTERNATIONAL,DES MOINES,USA,41.534,-93.663
KDTW,DTW,DETROIT METRO WAYNE CO,DETROIT,USA,42.212,-83.353
